#
# Andromeda
#
Oph Xi-40,Oph 51
Oph 51,Oph 44
Oph 44,Oph Theta-42
Oph Theta-42,Oph 45
#
# Orion
#
Betelgeuse,Ori Sigma-48
Ori Sigma-48,Ori Kappa-53
#Ori Kappa-53,Rigel
Rigel,Ori Eta-28
Ori Eta-28,Mintaka
Mintaka,Bellatrix
Ori Chi1-54,Ori Chi2-62
Ori Nu-67,Ori Chi1-54
Ori Xi-70,Ori Nu-67
Ori Chi2-62,Ori Xi-70
Ori Xi-70,Ori Mu-61
Ori Mu-61,Betelgeuse
Ori 32,Betelgeuse
Ori Lambda-39,Ori 32
Ori 32,Bellatrix
Bellatrix,Ori Pi3-1
#   Bow or Shield
Ori Pi3-1,Ori Pi4-3
Ori Pi4-3,Ori Pi5-8
Ori Pi5-8,Ori Pi6-10
Ori Pi3-1,Ori Pi2-2
Ori Pi2-2,Ori Pi1-7
#
# Pavo
#
#   Tail
Pav Alpha,Pav Gamma
Pav Gamma,Pav Beta
Pav Delta,Pav Beta
Pav Delta,Pav Alpha
#   Body
Pav Delta,Pav Epsilon
Pav Epsilon,Pav Zeta
Pav Zeta,Pav Kappa
Pav Kappa,Pav Delta
#   Head
Pav Kappa,Pav Lambda
Pav Xi,Pav Lambda
Pav Pi,Pav Xi
Pav Eta,Pav Pi
Pav Lambda,Pav Pi
#
# Pegasus
#
#   Wing
Markab,Algenib
Markab,Peg Beta-53
Algenib,Peg Beta-53
#   Body
Peg Xi-46,Markab
Markab,Peg Lambda-47
Peg Lambda-47,Peg Iota-24
Peg Iota-24,Peg Xi-46
#   Tail
Peg 55,Markab
Peg 58,Markab
#   Rear Legs
Homam,Peg Xi-46
Peg Theta-26,Homam
Eniph,Homam
#   Head
Peg Mu-48,Peg Lambda-47
Peg Mu-48,Peg Eta-44
Peg Eta-44,Peg Pi1-27
#   Front Legs
Peg Iota-24,Peg 9
Peg Kappa-10,Peg Iota-24
Peg Kappa-10,Peg 1
#
# Perseus
#
#   Head
Mirfak,Per Gamma-23
Per Gamma-23,Per Eta-15
Per Eta-15,Per Tau-18
Per Tau-18,Per Gamma-23
Per Tau-18,Per Iota
Mirfak,Per Iota
#   Body
Per Iota,Per Kappa-27
Per Kappa-27,Algol
Algol,Per Epsilo-45
Per Nu-41,Per Epsilo-45
Per Nu-41,Per Sigma-35
Per Sigma-35,Mirfak
#   Arms
Per Psi-37,Mirfak
Per Delta-39,Per Psi-37
Per 48,Per Delta-39
Per Mu-51,Per 48
Per Lambda-47,Per Mu-51
Per Iota,Per Theta-13
Per Theta-13,Per Phi
#   Legs
Per Epsilo-45,Per Xi-46
Per Xi-46,Per Zeta-44
Per Zeta-44,Per Omicro-38
Algol,Per Rho-25
Per Rho-25,Per Pi-22
#
# Phoenix
#
Phe Kappa,Phe Epsilon
Phe Kappa,Phe Alpha
Phe Alpha,Phe Epsilon
Phe Kappa,Phe Mu
Phe Mu,Phe Beta
Phe Mu,Phe Zeta
Phe Mu,Phe Gamma
Phe Beta,Phe Zeta
Phe Beta,Phe Gamma
Phe Beta,Phe Delta
Phe Beta,Phe Psi
Phe Psi,Phe Delta
#
# Pictor
#
Pic Alpha,Pic Gamma
Pic Gamma,Pic Beta
Pic Beta,Pic Alpha
#
# Pisces
#
#   North Head
Psc Phi-85,Psc Tau-83
Psc Tau-83,Psc Upsilo-90
Psc Upsilo-90,Psc Phi-85
#   Bodies
Psc Phi-85,Psc 94
Psc 94,Psc Eta-99
Psc Eta-99,Psc Omicr-110
Psc Omicr-110,Kaitain
# (Knot)
Kaitain,Psc Nu-106
Psc Nu-106,Psc Mu-98
Psc Mu-98,Psc Epsilo-71
Psc Epsilo-71,Psc Delta-63
Psc Delta-63,Psc Omega-28
Psc Omega-28,Psc Iota-17
#   West Head
Psc Iota-17,Psc Theta-10
Psc Theta-10,Psc Gamma-6
Psc Gamma-6,Psc Kappa-8
Psc Kappa-8,Psc Lambda-18
Psc Lambda-18,Psc Iota-17
#
# Piscis Austrinus
#
Fomalhaut,PsA Epsilo-18
PsA Epsilo-18,PsA Mu-14
PsA Mu-14,PsA Theta-10
PsA Theta-10,PsA Iota-9
PsA Iota-9,PsA Mu-14
PsA Mu-14,PsA Beta-17
PsA Beta-17,PsA Gamma-22
PsA Gamma-22,PsA Delta-23
PsA Delta-23,Fomalhaut
#
# Puppis
#
Pup Pi,Pup Nu
# Temporary, lost transom
Pup 3,Pup Pi
Pup Omicron,Pup 3
Pup Xi-7,Pup Omicron
Pup 11,Pup Xi-7
Pup Rho-15,Pup 11
Pup Zeta,Pup Rho-15
Vel Gamma2,Pup Zeta
#
# Pyxis
#
Pup Zeta,Pyx Beta
Pyx Beta,Pyx Alpha
